behavior,cross_car_a_v,cross_car_a_x,cross_car_a_y,cross_car_a_yaw,cross_car_b_v,cross_car_b_x,cross_car_b_y,cross_car_b_yaw,cross_car_c_v,cross_car_c_x,cross_car_c_y,cross_car_c_yaw,ctrl_state,ctrl_v,ego_v,ego_x,ego_y,ego_yaw,perc_near_x,t
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.518
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.93628844e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.519
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.924467e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.520000000000001
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.924467e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.540000000000001
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.20596386e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.56
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.04158048e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.58
,,,,,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,5.77457695e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.600000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,7.42448522e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.620000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.16061352e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.64
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.68754775e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.661000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.16957168e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.68
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.99482163e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.700000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.75984465e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.72
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.0779514e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.74
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,9.83830091e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.76
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.19684119e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.780000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.19684119e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.8
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,-1.83466396e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.82
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,-1.83466396e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.84
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,-6.71648859e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.860000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,-6.71648859e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.881
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,2.46976701e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.9
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,-5.72915706e-20,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.92
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.18432128e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.940000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.67153361e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.961
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,9.0732228e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,9.98
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.37007366e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.0
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.03043092e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.020000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,1.13038332e-18,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.040000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.50361599e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.06
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,8.50361599e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.08
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.54236243e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.100000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,7.26935685e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.120000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,7.26935685e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.14
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,3.07614359e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.16
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,5.93490133e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.180000000000001
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,6.78924216e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.201
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,7.16777437e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.22
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,7.58140378e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.24
,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,0.0,-60.0,48.25,0.0,NO_PATH,7.58140378e-19,0.0,29.99999999999999,-51.75,-2.987141537818687e-23,nan,10.26
